method,n,p,m,alpha,gamma,sigma_sq,mean_mse,se_mse,mean_loading_error,se_loading_error,mean_false_positive_rate,se_false_positive_rate,mean_false_negative_rate,se_false_negative_rate,mean_factor_score_cor,se_factor_score_cor
EFA,100,100,5,0.5,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,5,0.5,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,5,0.5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,5,0.5,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,5,0.5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,5,0.5,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,5,0.5,2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,5,0.5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,5,0.5,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,5,0.8,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,5,0.8,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,5,0.8,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,5,0.8,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,5,0.8,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,5,0.8,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,5,0.8,2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,5,0.8,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,100,5,0.8,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA,100,200,3,0.2,0,0.1,0.17983615432949807,6.127011775484716e-4,2.3589849825532228,0.021805017144483237,0.7926875,0.012342778618600342,0.05143181818181818,0.003622369623781248,0.21990011513367438,NA
EFA,100,200,3,0.2,0,1,0.9668933949777604,0.001022804730354553,6.2782840975828895,0.07169469925500874,0.83,0.010887829133134082,0.12345454545454546,0.004151283900981293,0.5076122875941468,NA
EFA,100,200,3,0.2,0,5,4.927347936689801,0.004819000255314292,21.629984782876857,0.16530925331722765,0.7861875,0.009430724539552043,0.2185,0.003717110269684154,0.3488922577332424,NA
EFA,100,200,3,0.2,1,0.1,0.20279332210024653,4.2079699060874263e-4,2.4988224354544504,0.02928875678454253,0.7295625,0.008483893217667692,0.017295454545454544,0.0011392960328077523,0.8889739774095547,NA
EFA,100,200,3,0.2,1,1,0.9553169753982131,0.0011160266662074078,7.505402815983854,0.08870921774985004,0.684375,0.004924060311317779,0.1045,0.0018355972634628188,0.7771277455948644,NA
EFA,100,200,3,0.2,1,5,4.874879351448757,0.004720650313722996,16.96474670405879,0.11497233496401918,0.72075,0.004796094791861942,0.22393181818181818,0.0023133321767701545,0.49706214734783744,NA
EFA,100,200,3,0.2,2,0.1,0.210601924893705,2.401756879944643e-4,3.3427769505564395,0.03141535441633341,0.6311875,0.008724482543047432,0.022704545454545453,0.0015218498630262846,0.9483080961902689,NA
EFA,100,200,3,0.2,2,1,0.947277233762074,9.790741190435783e-4,7.571605198405008,0.059959579130091686,0.696125,0.005795861790009221,0.14256818181818182,0.0019238288855213555,0.6406628029747902,NA
EFA,100,200,3,0.2,2,5,4.850303779255469,0.0050770737651609586,14.842393308173918,0.08578060288762135,0.7266875,0.004541697073848724,0.24236363636363636,0.001998235719031605,0.39406584445449744,NA
EFA,100,200,3,0.5,0,0.1,0.11511127950937759,8.140380673838727e-4,1.1901588147647628,0.009867082971501018,0.533325,0.016764374768050143,0.28945,0.03317575594961301,0.33680770494669976,NA
EFA,100,200,3,0.5,0,1,0.9775200459986525,0.001502760877508799,7.0762224075221045,0.09046400942500053,0.750125,0.011125283732620627,0.27435,0.021998238565848857,0.24700024612329036,NA
EFA,100,200,3,0.5,0,5,5.005558218466796,0.005638435469218474,26.00044638431759,0.24442834858467863,0.76655,0.009450748193351753,0.17335,0.01802216018061535,0.3381904539909626,NA
EFA,100,200,3,0.5,1,0.1,0.1510180670611671,9.478674815823722e-4,1.137187150480827,0.011446084692672179,0.416,0.008402741255451141,0,0,0.6627606176091664,NA
EFA,100,200,3,0.5,1,1,0.9622435143941204,0.0012349032696644649,7.085995993934777,0.08775215992430926,0.627775,0.0027784104077582554,0,0,0.6568238483266396,NA
EFA,100,200,3,0.5,1,5,4.956948054835294,0.005853662041366094,23.810524946488684,0.19781984181843806,0.69545,0.00273500964857124,0.0497,0.0022245417187784678,0.565628426629441,NA
EFA,100,200,3,0.5,2,0.1,0.17660576057539343,6.027110273819483e-4,1.351982255994157,0.014129000336934271,0.460525,0.008155085712596648,0,0,0.6620909676323163,NA
EFA,100,200,3,0.5,2,1,0.957197455690276,0.0011259816358770863,7.696473173938222,0.0955748835601436,0.649875,0.0031921571741132075,0.0026,4.7926711727070293e-4,0.638194445662751,NA
EFA,100,200,3,0.5,2,5,4.917239769912553,0.005082220298078527,22.447284235777587,0.1770002946116574,0.696375,0.002348536778506992,0.09355,0.002678284352100626,0.531057770113095,NA
EFA,100,200,3,0.8,0,0.1,0.11494564266405874,8.813326650118855e-4,2.990459469391744,0.01762871826741611,0.4536590909090909,0.005947190780400356,0,0,0.32656631358418026,NA
EFA,100,200,3,0.8,0,1,0.9553502892797683,0.0013590712669427044,7.857251360380044,0.0704070275999811,0.68375,0.0024993477319223767,0,0,0.3320779141116,NA
EFA,100,200,3,0.8,0,5,4.91966710846196,0.005719113232817047,15.39451476794544,0.06778116373818768,0.807,0.002810870577797141,0.0645,0.0030784154063643546,0.23552656514714457,NA
EFA,100,200,3,0.8,1,0.1,0.11633656803778236,0.001019395579827102,3.0185643149572545,0.01562546948158647,0.4566136363636364,0.006234513746708826,0,0,0.3344870020797789,NA
EFA,100,200,3,0.8,1,1,0.9575274185801645,0.0014205163760676546,7.907488025540074,0.06816334990224002,0.6821136363636363,0.00244025680716503,0,0,0.34201974646757155,NA
EFA,100,200,3,0.8,1,5,4.923302366133939,0.005768958584823318,15.488541309711303,0.06914904774078014,0.8064318181818182,0.0029571146207703868,0.0649375,0.002618551181551363,0.23727265890357324,NA
EFA,100,200,3,0.8,2,0.1,0.11533682303299964,9.269339935264502e-4,3.0251426672544257,0.014424169542688579,0.45638636363636365,0.005061469445987714,0,0,0.33225813981498026,NA
EFA,100,200,3,0.8,2,1,0.9574867530206871,0.0014466768516003307,7.795040996595459,0.06962034708436446,0.6792045454545454,0.0025581506068034915,0,0,0.3351561521453547,NA
EFA,100,200,3,0.8,2,5,4.9283922827051105,0.005239514597993597,15.23180813581913,0.0728044000485463,0.8085,0.0026851701204655644,0.0555,0.0026100766272276377,0.2421026365509167,NA
EFA,100,200,5,0.2,0,0.1,0.1504916140700114,9.915277857234159e-4,2.282703069857011,0.02871504336511896,0.49278125,0.006739173504002212,0.15058823529411766,0.002310785467038767,0.13381930569210232,NA
EFA,100,200,5,0.2,0,1,0.9323050791176943,0.0010247819492059892,12.250592037828515,0.10452737954360289,0.7246875,0.0038832339612074303,0.1855294117647059,0.002691473948537922,0.13827101537170255,NA
EFA,100,200,5,0.2,0,5,4.830478273377785,0.00539321101777498,28.80743626436103,0.13833914975958353,0.73628125,0.004373172192138787,0.23751470588235293,0.002061738768746052,0.25853833494830714,NA
EFA,100,200,5,0.2,1,0.1,0.19721535310619656,5.817530996514205e-4,2.9950800070350856,0.03346707140800745,0.5739375,0.006432042650988986,0.1610735294117647,0.0023776420894577044,0.13559380218579173,NA
EFA,100,200,5,0.2,1,1,0.9107513329338951,0.0010559832307438333,10.929816220918584,0.06959983751247556,0.684125,0.0025514281007967586,0.14927941176470588,0.001886805743249905,0.5291393504197779,NA
EFA,100,200,5,0.2,1,5,4.735439679452945,0.0050006449719621265,20.501515939457764,0.07858141273481818,0.71765625,0.0030703475392852434,0.2555294117647059,0.001888266853726038,0.28269146494072456,NA
EFA,100,200,5,0.2,2,0.1,0.20954465738972103,2.777339059699458e-4,4.481595060441036,0.03366665939926219,0.5721875,0.005282707609204152,0.12483823529411765,0.002085379094130552,0.558586350135585,NA
EFA,100,200,5,0.2,2,1,0.9007176508081752,0.0010427576057027712,10.568659092280415,0.06664060078984026,0.69153125,0.0033573046092464824,0.19247058823529412,0.001557065231066025,0.4202511760090466,NA
EFA,100,200,5,0.2,2,5,4.689174491386353,0.0051529158845792355,16.564847940965603,0.057057091076593826,0.71928125,0.002912285332076734,0.2701176470588235,0.0015302628008378547,0.2154984161745891,NA
EFA,100,200,5,0.5,0,0.1,0.11038648400363298,9.697186330126234e-4,2.050146229539509,0.02407973782895593,0.438725,0.008570046718517686,0.2816,0.0331331016393338,0.2032035064773212,NA
EFA,100,200,5,0.5,0,1,0.9296059064417637,0.0013679343245338524,13.577699781125286,0.15730124977568266,0.6787,0.005636307937978298,0.1815,0.022028734678032496,0.23262034199981688,NA
EFA,100,200,5,0.5,0,5,4.858780083062509,0.005498299356195309,37.02744926151103,0.24312012328492072,0.7549375,0.004749680179291608,0.2241,0.0177602410348554,0.14113794110044026,NA
EFA,100,200,5,0.5,1,0.1,0.14608339969787829,0.0010076957591779539,2.0838062255577325,0.02718377488462042,0.4164625,0.005477832249073523,0,0,0.39394375965089656,NA
EFA,100,200,5,0.5,1,1,0.9150180303661704,0.00116601602358499,12.964756603477722,0.1346205210859508,0.6465875,0.001911294761187142,0,0,0.39394506722437167,NA
